Suburb,Total Area,Area affected,Percentage_of_Total_Area_Affected
NURRAN,417.55,417.55,100
DEPTFORD,407.13,404.89,99.45
OMEO,75.96,8.38,11.03
TOM GROGGIN,526.92,458.58,87.03
TAMBOON,565.86,529.93,93.65
WONGUNGARRA,132.54,30.54,23.04
COBBERAS,158.04,47.52,30.07
SUGGAN BUGGAN,23.79,2.01,8.46
DANDONGADALE,334.6,320.21,95.7
GELANTIPY,284.82,278.21,97.68
HOTSPUR,20.83,1.83,8.78
DARTMOUTH,118.49,12.75,10.76
WULGULMERANG WEST,127.15,37.69,29.64
GLEN VALLEY,24.11,1.73,7.18
BUCHAN SOUTH,505.9,505.9,100
MACARTHUR,21.97,1.46,6.65
UPPER GUNDOWRING,4.03,0.2,5.05
NELSON,9.73,0.38,3.94
CHANDLERS CREEK,466.55,466.55,100
GENOA,454.02,454.02,100
DRUMBORG,5.11,0.1,2
NELSE,9.49,0.34,3.62
BULDAH,263.13,263.13,100
BENAMBRA,71.29,5.67,7.95
WINGAN RIVER,842.78,840.25,99.7
COMBIENBAR,359.55,328.52,91.37
MARTHAVALE,178.51,119.87,67.15
NOORINBEE NORTH,247.92,247.92,100
WULGULMERANG,64.85,23.24,35.83
WULGULMERANG EAST,67.19,39.45,58.71
BRUMBY,324.37,173.96,53.63
NOORINBEE,252.31,252.31,100
WISELEIGH,7.77,4.29,55.18
BELLBIRD CREEK,24.16,24.16,100
BUCKLAND,316.93,230.25,72.65
MOUNT BUFFALO,83.69,29.36,35.08
MALLACOOTA,186.05,119.28,64.11
ROCKY POINT,0.89,0.1,11.23
CORAL BANK,1.54,0.1,6.25
YALMY,820.28,812.9,99.1
BUCHAN,425.8,358.69,84.24
STIRLING,221.13,221.13,100
KILLARA,9.45,0.43,4.58
BROOKVILLE,147.65,99.69,67.52
CHUTE,7.93,1.16,14.69
MOUNT LONARCH,8.02,0.88,10.96
CARLISLE RIVER,4.68,0.1,2.16
BESSIEBELLE,14.71,1.01,6.89
WALLAGARAUGH,25.67,25.67,100
MURRINDAL,8.23,3.85,46.83
BURROWYE,43.44,12.12,27.9
HOTHAM HEIGHTS,59.17,7.97,13.47
LAKE CONDAH,16.4,8.39,51.18
MONGANS BRIDGE,13.93,5.58,40.05
WENTWORTH,5.92,0.19,3.22
ALLENDALE,0.29,0.01,1.8
GIPSY POINT,17.16,17.16,100
CAPE CONRAN,11.57,8.21,70.99
SHANNONVALE,4.63,2.21,47.71
MOUNT ALFRED,72.56,72.56,100
SELWYN,286.89,190.47,66.39
MOSSIFACE,1.72,0.23,13.41
SUNBURY,2.13,0.03,1.42
BROOMFIELD,0.3,0.01,2.88
GRANITE ROCK,1.96,0.2,10.03
NICHOLSON,3.31,0.13,4.04
SARSFIELD,31.38,15.49,49.35
LENEVA,2.6,0.07,2.84
WAYGARA,6.49,0.95,14.65
HUNTLY,1.26,0.03,2.66
NUG NUG,16.21,4.63,28.58
TAMBO CROSSING,55.89,54.71,97.89
GUYS FOREST,211.34,210.05,99.39
SHELLEY,16.35,1.46,8.92
WATERHOLES,28.49,28.49,100
KOETONG,5.36,0.15,2.75
SIMPSONS CREEK,0.45,0.01,1.37
DERGHOLM,4.52,0.06,1.42
DINNER PLAIN,7.65,1.91,25.01
PLENTY,0.28,0.01,2.23
DRY DIGGINGS,0.11,0,1.24
WALWA,88.52,60.75,68.63
MOUNT BULLER,40.44,1.45,3.59
FAIRY DELL,65.15,54.14,83.1
LUCYVALE,15.45,1.22,7.9
ANGLERS REST,69.66,47.95,68.83
PASTORIA,0.57,0.01,1.2
MOORNGAG,1.14,0.03,2.37
WANGARABELL,61.17,61.17,100
BUTCHERS RIDGE,30.3,23.96,79.08
W TREE,167.89,152.71,90.96
PINE MOUNTAIN,65.84,61.07,92.75
TOWONG,58,36.74,63.35
BERRINGAMA,52.06,26.8,51.48
COBUNGRA,164.85,127.49,77.34
DARGO,169.38,24.64,14.55
MANORINA,37.44,37.22,99.4
BONANG,239.04,91.05,38.09
BETE BOLONG,123.61,95.7,77.42
FAIRY DELL,3.29,0.33,10
TONGHI CREEK,76.17,76.17,100
BENDOC,163.04,40.22,24.67
CLIFTON CREEK,36.14,21.59,59.74
AMPHITHEATRE,8.06,0.38,4.71
MOUNT MERCER,4.18,0.14,3.46
MARLO,51.83,16.91,32.63
BEMM RIVER,285.27,252.58,88.54
WOMBAT CREEK,31.24,10.08,32.28
WHOROULY SOUTH,1.79,0.03,1.85
WAIREWA,78.42,72.48,92.42
TINTALDRA,81.08,73.76,90.97
WROXHAM,65.99,65.99,100
BETE BOLONG NORTH,81.14,81.14,100
BREAKAWAY CREEK,17.24,4.34,25.2
CORRYONG,56.55,39.18,69.28
KINYPANIAL,1.16,0.02,1.41
BUFFALO RIVER,10.96,1.24,11.28
BRUTHEN,0.93,0.01,1.16
EDI UPPER,4.51,0.11,2.49
BIGGARA,182.65,169.46,92.78
EUROA,4.42,0.09,2.05
ULLSWATER,1.09,0.01,1.28
ABBEYARD,207.41,117.33,56.57
BUNDARA,125.36,113.48,90.52
BRODRIBB RIVER,44.68,22.1,49.46
ENSAY,22.08,3.57,16.16
NUNNIONG,175.79,76.38,43.45
REEDY FLAT,58.15,35.17,60.48
DEDDICK VALLEY,91.42,14.78,16.17
CABBAGE TREE CREEK,238.47,160.01,67.1
TOOAN,1.98,0.03,1.62
DOUBLE BRIDGES,156.38,151.25,96.72
TAWONGA,3.72,0.09,2.31
GOONGERAH,310.39,251.6,81.06
MOUNT GLASGOW,0.26,0.01,1.97
GOROKE,16.32,0.75,4.57
BANDIANA,0.64,0.02,3.11
BULLUMWAAL,93.55,67.98,72.67
SANDY CREEK,1.47,0.02,1.31
ORBOST,149.47,90.77,60.73
COLAC COLAC,37,37,100
CARBOOR,24.76,4.31,17.4
ERRINUNDRA,304.07,304.07,100
CLUB TERRACE,595.03,595.03,100
MARAMINGO CREEK,119.39,119.39,100
CUDGEWA,281.82,281.82,100
NARIEL VALLEY,1347.68,1269.38,94.19
LEXTON,6.96,0.3,4.38
THOWGLA VALLEY,107.65,77.1,71.62
CANN RIVER,133.16,133.16,100
SHELFORD,2.84,0.04,1.42
WABONGA,4.3,0.05,1.26
BINDI,21.69,2.66,12.27
MITTA MITTA,42.79,2,4.67
ESKDALE,27.38,2.12,7.76
TIMBARRA,179.02,179.02,100
TOOLLEEN,3.4,0.06,1.89
ROSE RIVER,106.24,40.21,37.85
CONNEWIRRICOO,0.6,0.01,1.09
BUNDOORA,0.41,0.01,2.06
RYANS,83.13,44.62,53.67
WINNAP,11.83,1.19,10.1
JARRAHMOND,42.05,23.38,55.59
TOSTAREE,1.41,0.04,2.9
NOWA NOWA,118.32,50.14,42.38
ENSAY NORTH,7.46,0.7,9.35
STRATHALLAN,1.43,0.03,2.12
